id	de	level	ko	model
s5f8f20b095	Ich hätte gern eine Auskunft.	a1	정보를 좀 알고 싶어요.	claude-opus-5[1m]
s6f1f295d30	Die Firma hat eine neue Nummer. Bitte, rufen Sie die Auskunft an.	a1	그 회사는 번호가 새로 바뀌었어요. 안내 서비스에 전화해 보세요.	claude-opus-5[1m]
s25afbfd2af	Fahren Sie ins Ausland?	a1	외국에 가시나요?	claude-opus-5[1m]
sf0dd7e9c73	Wir fahren im Urlaub meistens ins Ausland.	a1	우리는 휴가 때 보통 외국에 가요.	claude-opus-5[1m]
s1579ff2fcf	Sind Sie Ausländerin?	a1	외국인이세요?	claude-opus-5[1m]
s039c7cfe94	Viele Ausländer und Ausländerinnen lernen in der Volkshochschule Deutsch.	a1	많은 외국인들이 시민대학에서 독일어를 배워요.	claude-opus-5[1m]
s2144511955	Leider habe ich nur ausländisches Geld.	a1	아쉽게도 저는 외국 돈밖에 없어요.	claude-opus-5[1m]
sfc3897ea8b	Die ausländischen Studenten müssen zuerst einen Deutschkurs besuchen.	a1	외국인 학생들은 먼저 독일어 강좌를 들어야 해요.	claude-opus-5[1m]
s793e8731c9	Mach bitte das Licht aus!	a1	불 좀 꺼 줘!	claude-opus-5[1m]
sef9e6d79ad	Wann kommt dieser Zug in Hamburg an?	a1	이 기차는 함부르크에 언제 도착해요?	claude-opus-5[1m]
s2ae939ce71	Auf diesem Fahrplan steht nur die Ankunft der Züge.	a1	이 운행 시간표에는 기차의 도착만 나와 있어요.	claude-opus-5[1m]
sd3e6385a06	ist angekommen	a1	도착했어요	claude-opus-5[1m]
s08cbade8ee	Wann kommt der Zug in Hamburg an?	a1	그 기차는 함부르크에 언제 도착해요?	claude-opus-5[1m]
s8e614ac274	Bei dem Spiel kommt es darauf an, schneller zu laufen als die anderen.	a1	이 놀이에서는 다른 사람들보다 빨리 달리는 것이 중요해요.	claude-opus-5[1m]
s43dd29a64e	Auf diesem Plan steht nur die Ankunft(-szeit) der Züge.	a1	이 시간표에는 기차의 도착 시간만 나와 있어요.	claude-opus-5[1m]
s62932228ef	Gehen wir morgen zusammen in die Ausstellung?	a1	우리 내일 같이 전시회에 갈까요?	claude-opus-5[1m]
s3178f79d33	Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr.	a1	출발은 0시 55분, 도착은 8시 7분이에요.	claude-opus-5[1m]
sd6780d76dd	Gleich nach der Ankunft habe ich meine Eltern angerufen.	a1	도착하자마자 부모님께 전화했어요.	claude-opus-5[1m]
s73333d7c00	Auf dem Formular müssen Sie an mehreren Stellen etwas ankreuzen.	a1	양식의 여러 곳에 표시를 하셔야 해요.	claude-opus-5[1m]
s89283da8af	Mach bitte das Licht an!	a1	불 좀 켜 줘!	claude-opus-5[1m]
sd307fa3852	macht an	a1	켜요	claude-opus-5[1m]
sa42a1ea879	hat angemacht	a1	켰어요	claude-opus-5[1m]
s558c0617bb	Wo kann ich mich anmelden?	a1	어디에서 등록할 수 있어요?	claude-opus-5[1m]
scdd4132fec	Eine Anmeldung für diesen Kurs ist nicht mehr möglich.	a1	이 강좌는 더 이상 등록할 수 없어요.	claude-opus-5[1m]
s8454cb608b	hat angemeldet	a1	등록했어요	claude-opus-5[1m]
s95a3b7cbbd	Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.	a1	이 강좌는 반드시 미리 등록하셔야 해요.	claude-opus-5[1m]
s48c9f55ae5	Wo bekomme ich das Formular für die Anmeldung?	a1	등록 양식은 어디에서 받을 수 있어요?	claude-opus-5[1m]
s72f309d077	Wo bekomme ich die Formulare für die Anmeldung?	a1	등록 양식들은 어디에서 받을 수 있어요?	claude-opus-5[1m]
s0a96b63368	Die Anmeldung ist im Erdgeschoss, Zimmer 55.	a1	접수처는 1층 55호실이에요.	claude-opus-5[1m]
sa59ebbfdb8	Schreiben Sie auch eine Anrede und einen Gruß.	a1	호칭과 인사말도 쓰세요.	claude-opus-5[1m]
sf555497ffe	Du darfst im Brief die Anrede nicht vergessen.	a1	편지에서 호칭을 잊으면 안 돼.	claude-opus-5[1m]
s8e1c09bcae	Kann man Sie anrufen?	a1	당신에게 전화해도 될까요?	claude-opus-5[1m]
s701cf9e262	Peter ruft kurz seine Freundin an.	a1	페터는 여자친구에게 잠깐 전화해요.	claude-opus-5[1m]
s0515429e29	Kann ich Sie heute Abend anrufen?	a1	오늘 저녁에 전화드려도 될까요?	claude-opus-5[1m]
sa3aae32af3	hat angerufen	a1	전화했어요	claude-opus-5[1m]
sf70620b0b3	Ich rufe Sie heute Abend an.	a1	오늘 저녁에 전화드릴게요.	claude-opus-5[1m]
sb52e14638a	Sie bekommt viele Anrufe auf ihrem Handy.	a1	그녀는 휴대폰으로 전화를 많이 받아요.	claude-opus-5[1m]
s12ffbbabc1	Eva bekommt viele Anrufe von ihrem Freund Juan.	a1	에바는 친구 후안에게서 전화를 많이 받아요.	claude-opus-5[1m]
sc9cd0406f0	Ich warte auf einen Anruf aus Berlin.	a1	저는 베를린에서 오는 전화를 기다리고 있어요.	claude-opus-5[1m]
s1f7acb9f3e	Wir sind im Moment nicht da. Sprechen Sie bitte auf den Anrufbeantworter.	a1	저희는 지금 자리에 없어요. 자동응답기에 말씀해 주세요.	claude-opus-5[1m]
s711256fe4e	Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.	a1	네 자동응답기에 메시지를 남겼어.	claude-opus-5[1m]
s866d2d7539	Hören Sie die Ansagen.	a1	안내 방송을 들으세요.	claude-opus-5[1m]
s9288be2ecc	Achten Sie auf die Ansage am Bahnsteig.	a1	승강장의 안내 방송에 주의하세요.	claude-opus-5[1m]
sa59b3c0495	In Mannheim haben Sie Anschluss nach Saarbrücken.	a1	만하임에서 자르브뤼켄행으로 갈아탈 수 있어요.	claude-opus-5[1m]
s2a2e7d1999	Ist das die Anmeldung für einen Telefonanschluss?	a1	이게 전화 회선 신청인가요?	claude-opus-5[1m]
s04eae17f03	In Stuttgart erreichen Sie alle Anschlüsse. Auch der Zug nach Paris wartet.	a1	슈투트가르트에서 모든 연결편을 탈 수 있어요. 파리행 기차도 기다려요.	claude-opus-5[1m]
sc2da866d74	Gibt es in der Wohnung einen Waschmaschinenanschluss?	a1	그 집에 세탁기 연결부가 있나요?	claude-opus-5[1m]
s022afd167a	Ich brauche in meiner Wohnung einen Telefonanschluss.	a1	저는 집에 전화 회선이 필요해요.	claude-opus-5[1m]
s697be21523	Heute Nacht war das Licht an.	a1	어젯밤에 불이 켜져 있었어요.	claude-opus-5[1m]
s319bc5912e	Das Licht ist noch an.	a1	불이 아직 켜져 있어요.	claude-opus-5[1m]
s7911539147	Das Licht ist noch an/schon aus.	a1	불이 아직 켜져 있어요. / 벌써 꺼졌어요.	claude-opus-5[1m]
sf123b80dc7	Er antwortet nicht.	a1	그는 대답하지 않아요.	claude-opus-5[1m]
s26c8259321	hat geantwortet	a1	대답했어요	claude-opus-5[1m]
s1f9bba924e	Er gibt leider keine Antwort.	a1	그는 유감스럽게도 대답을 하지 않아요.	claude-opus-5[1m]
sd014e2f040	Ich habe Ihre Anzeige in der Zeitung gelesen.	a1	신문에서 당신의 광고를 읽었어요.	claude-opus-5[1m]
sab405a4b09	Ich muss mich noch anziehen.	a1	저는 아직 옷을 입어야 해요.	claude-opus-5[1m]
sf32680b17f	Wir haben ein Apartment gemietet.	a1	우리는 아파트를 하나 빌렸어요.	claude-opus-5[1m]
s9f66d624cb	Ein Pfund Äpfel bitte.	a1	사과 한 파운드 주세요.	claude-opus-5[1m]
sb5637beb90	Ein Kilo Äpfel, bitte.	a1	사과 1킬로 주세요.	claude-opus-5[1m]
s8af8b72afe	Guten Appetit!	a1	맛있게 드세요!	claude-opus-5[1m]
s0436e3db0f	Wo arbeiten Sie?	a1	어디에서 일하세요?	claude-opus-5[1m]
se1e9c1fdfb	Ich arbeite als Krankenschwester in einem Krankenhaus.	a1	저는 병원에서 간호사로 일해요.	claude-opus-5[1m]
s9a32106ddb	Mein Bruder sucht Arbeit.	a1	제 형은 일자리를 찾고 있어요.	claude-opus-5[1m]
s7f7465c2cc	Es gibt bei uns viele Leute, die schon lange arbeitslos sind.	a1	우리 지역에는 오래 실업 상태인 사람들이 많아요.	claude-opus-5[1m]
sd3b0b3d0a7	Seit wann ist er schon arbeitslos?	a1	그는 언제부터 실업 상태예요?	claude-opus-5[1m]
s6bbe69490b	An meinem Arbeitsplatz fehlt ein Drucker.	a1	제 일하는 자리에는 프린터가 없어요.	claude-opus-5[1m]
seb1627bdbd	Mein Arm tut weh.	a1	팔이 아파요.	claude-opus-5[1m]
s2f1f93ec4e	Morgen habe ich einen Termin bei meiner Ärztin.	a1	내일 의사 선생님께 진료 예약이 있어요.	claude-opus-5[1m]
s1b26f1c1fb	Ich bin auch Spanier.	a1	저도 스페인 사람이에요.	claude-opus-5[1m]
s4cf996976d	Er hat Zeit, also kann er uns helfen.	a1	그는 시간이 있어요, 그러니까 우리를 도와줄 수 있어요.	claude-opus-5[1m]
s0cdeb28aa9	Irina hat Urlaub. Sie kann uns also helfen.	a1	이리나는 휴가예요. 그러니까 우리를 도와줄 수 있어요.	claude-opus-5[1m]
sfec0b08737	Also wirklich, jetzt reicht es.	a1	정말이지, 이제 그만하면 됐어요.	claude-opus-5[1m]
s04517b600c	Wie alt sind Sie?	a1	연세가 어떻게 되세요?	claude-opus-5[1m]
s10675f0a83	Sie sehen aber nicht so alt aus.	a1	그런데 그렇게 나이 들어 보이지는 않으세요.	claude-opus-5[1m]
se6ef0cf092	Mein Auto ist schon sehr alt.	a1	제 차는 벌써 아주 오래됐어요.	claude-opus-5[1m]
sfbdba3d99d	Wir wohnen in einem sehr alten Haus.	a1	우리는 아주 오래된 집에 살아요.	claude-opus-5[1m]
s8ba3b6a5ac	Köln ist eine alte Stadt.	a1	쾰른은 오래된 도시예요.	claude-opus-5[1m]
s80aa589f32	Mein Computer ist schon sehr alt.	a1	제 컴퓨터는 벌써 아주 오래됐어요.	claude-opus-5[1m]
sfaa099aa70	Wir wohnen in einem ganz alten Haus.	a1	우리는 아주 오래된 집에 살아요.	claude-opus-5[1m]
s9b766dcf8f	Alter: 26 Jahre.	a1	나이: 26세.	claude-opus-5[1m]
s0904765441	Alter: 18 Jahre.	a1	나이: 18세.	claude-opus-5[1m]
s2b765e6312	Maria ist eine alte Freundin von mir.	a1	마리아는 제 오랜 친구예요.	claude-opus-5[1m]
s3906f124df	Wir sind etwa im gleichen Alter.	a1	우리는 나이가 거의 비슷해요.	claude-opus-5[1m]
s42c00d012b	Alter: 26 Jahre	a1	나이: 26세	claude-opus-5[1m]
sb9d077dcc1	Fahren Sie an der nächsten Straße nach rechts.	a1	다음 길에서 오른쪽으로 가세요.	claude-opus-5[1m]
s8f45810895	Wir treffen uns am Bahnhof.	a1	우리는 역에서 만나요.	claude-opus-5[1m]
s61d4c37263	Am nächsten Montag geht es leider nicht.	a1	다음 주 월요일은 아쉽지만 안 돼요.	claude-opus-5[1m]
s32317a2f23	Fahren Sie an der nächsten Kreuzung nach rechts.	a1	다음 교차로에서 오른쪽으로 가세요.	claude-opus-5[1m]
s3ec26ba8ef	Wir treffen uns am Bahnhof/am Kino/am Stand.	a1	우리는 역에서/영화관에서/가판대에서 만나요.	claude-opus-5[1m]
s35f9349535	Das Licht war die ganze Nacht an.	a1	불이 밤새 켜져 있었어요.	claude-opus-5[1m]
s3acb0332c1	Ich ziehe (mir) eine Jacke an.	a1	저는 재킷을 입어요.	claude-opus-5[1m]
sf43e00557b	Er hat sein T-Shirt ausgezogen und ein Hemd angezogen.	a1	그는 티셔츠를 벗고 셔츠를 입었어요.	claude-opus-5[1m]
sf90b8708dc	Die Nachbarn sind am Wochenende ausgezogen.	a1	이웃들이 주말에 이사 나갔어요.	claude-opus-5[1m]
s6cbbb81fdf	Am Anfang war alles sehr schwierig.	a1	처음에는 모든 게 아주 어려웠어요.	claude-opus-5[1m]
sbee0582aef	Dann sehen wir uns also am Dienstag.	a1	그럼 화요일에 봐요.	claude-opus-5[1m]
s54e429bba1	Ich warte am Bahnhof auf dich.	a1	역에서 널 기다릴게.	claude-opus-5[1m]
s9392a08c0a	Am besten, du gehst zur Information und fragst da.	a1	제일 좋은 건 안내소에 가서 거기서 물어보는 거야.	claude-opus-5[1m]
s62b9c4f3c5	Was darf ich dir anbieten?	a1	뭘 줄까?	claude-opus-5[1m]
se08d075a72	Darf ich Ihnen/dir ein Stück Kuchen anbieten?	a1	케이크 한 조각 드릴까요?	claude-opus-5[1m]
s4e74f30cdb	bietet an	a1	제공해요	claude-opus-5[1m]
s87bf805261	hat angeboten	a1	제공했어요	claude-opus-5[1m]
s18e54cad06	Darf ich Ihnen etwas zu trinken anbieten?	a1	마실 것 좀 드릴까요?	claude-opus-5[1m]
se3210e8ad2	Heute sind Sportschuhe im Angebot.	a1	오늘은 운동화가 특가예요.	claude-opus-5[1m]
sc77b9b67a7	Heute sind Bananen im Angebot.	a1	오늘은 바나나가 특가예요.	claude-opus-5[1m]
sbed835fd3f	Stellenangebote finden Sie in der Zeitung oder im Internet.	a1	구인 광고는 신문이나 인터넷에서 찾을 수 있어요.	claude-opus-5[1m]
s68b6436671	Ich habe in der Zeitung ein paar günstige Wohnungsangebote gelesen.	a1	신문에서 저렴한 집 매물 몇 개를 읽었어요.	claude-opus-5[1m]
s835c9ebf43	Der Käse ist heute im Angebot.	a1	치즈가 오늘 특가예요.	claude-opus-5[1m]
s8d8552a392	Willst du diese Jacke?	a1	이 재킷 원해?	claude-opus-5[1m]
sf3721e0562	– Nein, ich möchte die andere.	a1	– 아니요, 다른 걸로 할게요.	claude-opus-5[1m]
s2d7a8f10f9	Willst du diesen Mantel? – Nein, ich möchte den anderen.	a1	이 코트 원해? – 아니, 다른 걸로 할래.	claude-opus-5[1m]
s69d2028799	Die anderen sind schon nach Hause gegangen.	a1	다른 사람들은 벌써 집에 갔어요.	claude-opus-5[1m]
s1774cdc8d7	Bitte nicht alle auf einmal! Einer nach dem anderen.	a1	한꺼번에 다 오지 마세요! 한 명씩요.	claude-opus-5[1m]
sd1954f6de3	Ich hätte gern ein anderes Auto.	a1	저는 다른 차를 갖고 싶어요.	claude-opus-5[1m]
s3169d58e5f	Natascha hat unter anderem Chinesisch und Spanisch gelernt.	a1	나타샤는 무엇보다도 중국어와 스페인어를 배웠어요.	claude-opus-5[1m]
sbd3433fa48	Hier fängt die Bahnhofstraße an.	a1	여기서 반호프 거리가 시작돼요.	claude-opus-5[1m]
s0f45fa5f44	Der Unterricht fängt gleich an.	a1	수업이 곧 시작돼요.	claude-opus-5[1m]
s8e4e083e81	Würden Sie bitte anfangen?	a1	시작해 주시겠어요?	claude-opus-5[1m]
sd1ba7e17eb	Ich fange im Herbst meine Ausbildung an.	a1	저는 가을에 직업 교육을 시작해요.	claude-opus-5[1m]
s8041ca41ae	Wann fängst du mit der Arbeit an?	a1	너는 언제 일을 시작해?	claude-opus-5[1m]
sa0810e6761	Sie wohnt am Anfang der Straße.	a1	그녀는 길 초입에 살아요.	claude-opus-5[1m]
sf2ea0f72fe	Wir machen Anfang Juli Urlaub.	a1	우리는 7월 초에 휴가를 가요.	claude-opus-5[1m]
seed08a95be	Wie war der Film? – Ich habe nur den Anfang gesehen.	a1	영화 어땠어요? – 저는 앞부분만 봤어요.	claude-opus-5[1m]
sd871b5cbb6	Am Anfang habe ich bei der Arbeit viele Fragen gestellt.	a1	처음에는 직장에서 질문을 많이 했어요.	claude-opus-5[1m]
sef30414420	Mein Chef ist Anfang fünfzig.	a1	제 상사는 50대 초반이에요.	claude-opus-5[1m]
s85f978acfd	Meine Mutter war von Anfang an dagegen, dass ich nach Berlin ziehe.	a1	어머니는 제가 베를린으로 이사하는 걸 처음부터 반대하셨어요.	claude-opus-5[1m]
s7ed65621f7	Wir machen Anfang Juli Ferien.	a1	우리는 7월 초에 휴가를 가요.	claude-opus-5[1m]
sc17ad4896e	Meine Freundin wohnt am Anfang der Straße.	a1	제 여자친구는 길 초입에 살아요.	claude-opus-5[1m]
sa909015bd8	Da musst du dieses Wort anklicken.	a1	거기서 이 단어를 클릭해야 해.	claude-opus-5[1m]
s8df7aee783	Du musst das Bild anklicken. Dann wird es größer.	a1	그 그림을 클릭해야 해. 그러면 더 커져.	claude-opus-5[1m]
sdc12e4dec8	Ab morgen muss ich arbeiten.	a1	내일부터 일해야 해요.	claude-opus-5[1m]
sfe9ff817cb	Ab morgen muss ich wieder arbeiten.	a1	내일부터 다시 일해야 해요.	claude-opus-5[1m]
s3eba3da1c2	Die Fahrt kostet ab Hamburg 200 Euro.	a1	그 여행은 함부르크에서 출발하면 200유로예요.	claude-opus-5[1m]
s0d77cf7ac7	Ab nächster Woche bleibt unser Geschäft samstags geschlossen.	a1	다음 주부터 우리 가게는 토요일에 문을 닫아요.	claude-opus-5[1m]
s397d2df512	Mein Bruder besucht uns ab und zu.	a1	형이 가끔 우리를 찾아와요.	claude-opus-5[1m]
s8a490e323c	Ich bin oft im Büro, aber nur für wenige Stunden.	a1	저는 사무실에 자주 있지만, 몇 시간만 있어요.	claude-opus-5[1m]
s472d6fcdd7	Heute kann ich nicht kommen, aber morgen habe ich Zeit.	a1	오늘은 못 가지만, 내일은 시간이 있어요.	claude-opus-5[1m]
s88dbfa3aac	Wir haben nur eine kleine Wohnung, sind aber damit zufrieden.	a1	우리는 작은 집만 있지만, 그것에 만족해요.	claude-opus-5[1m]
s00c56202fc	Es war sehr schön. Jetzt muss ich aber gehen.	a1	아주 좋았어요. 그런데 이제 가야 해요.	claude-opus-5[1m]
s372fe55b09	Das ist aber nett von dir.	a1	정말 친절하구나.	claude-opus-5[1m]
sefd8874b98	Heute kann ich nicht, aber morgen ganz bestimmt.	a1	오늘은 안 되지만, 내일은 확실히 돼요.	claude-opus-5[1m]
s93e97a21f3	Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren.	a1	눈이 많이 쌓였지만, 엔초는 그래도 오토바이를 탔어요.	claude-opus-5[1m]
sebd40486ef	Ich würde gerne kommen, aber es geht leider nicht.	a1	가고 싶지만, 안타깝게도 안 돼요.	claude-opus-5[1m]
s445ef1c72e	Darf ich dich zu einem Kaffee einladen? – Aber ja, sehr gern.	a1	커피 한잔 사도 될까? – 물론이지, 아주 좋아.	claude-opus-5[1m]
s37ea0d4a89	Du spielst aber gut Klavier.	a1	너 피아노 정말 잘 치는구나.	claude-opus-5[1m]
se95eec5f10	Wir fahren um zwölf Uhr ab.	a1	우리는 열두 시에 출발해요.	claude-opus-5[1m]
sa6062c8937	Ich fahre mit dem Auto zur Arbeit.	a1	저는 차로 출근해요.	claude-opus-5[1m]
s217feb2162	Unser Zug ist pünktlich abgefahren.	a1	우리 기차는 정시에 출발했어요.	claude-opus-5[1m]
s18f9cd05a9	Vor der Abfahrt rufe ich an.	a1	출발 전에 전화할게요.	claude-opus-5[1m]
s94113d3aeb	Wir haben noch zwanzig Minuten bis zur Abfahrt.	a1	출발까지 아직 20분 남았어요.	claude-opus-5[1m]
sb1840bc874	Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.	a1	출발까지 우리에게 아직 20분이 남아 있어요.	claude-opus-5[1m]
sb7c4f6f59c	Ich muss meine Schlüssel abgeben.	a1	저는 열쇠를 반납해야 해요.	claude-opus-5[1m]
sf2fcc98cdc	Ich muss meinen Schlüssel an der Rezeption abgeben.	a1	저는 열쇠를 프런트에 맡겨야 해요.	claude-opus-5[1m]
s0e9efbb8a0	gibt ab	a1	제출해요	claude-opus-5[1m]
s8bd991b030	hat abgegeben	a1	제출했어요	claude-opus-5[1m]
s79aa843162	Ich soll dieses Päckchen bei Herrn Müller abgeben.	a1	저는 이 소포를 뮐러 씨에게 전해 줘야 해요.	claude-opus-5[1m]
s9a0073fd6e	Wann kann ich den Schrank bei dir abholen?	a1	그 장을 언제 너한테서 가져갈 수 있어?	claude-opus-5[1m]
sf3a6ee7445	Wir müssen noch meinen Bruder abholen.	a1	우리는 형도 데리러 가야 해요.	claude-opus-5[1m]
sa6f18fc22f	Wann kann ich die Sachen bei dir abholen?	a1	그 물건들을 언제 너한테서 가져갈 수 있어?	claude-opus-5[1m]
sfa848ebd70	holt ab	a1	데리러 가요	claude-opus-5[1m]
se30ba300d0	hat abgeholt	a1	데리러 갔어요	claude-opus-5[1m]
s61830c8733	Meine Freundin hat mich vom Bahnhof abgeholt.	a1	여자친구가 저를 역으로 마중 나왔어요.	claude-opus-5[1m]
s97fd0df956	Da ist ein Brief für dich ohne Absender.	a1	보내는 사람 없는 편지가 너한테 하나 왔어.	claude-opus-5[1m]
s344a83f04c	Schicken Sie das Paket an den Absender zurück.	a1	그 소포를 발신인에게 돌려보내세요.	claude-opus-5[1m]
sab92b1d4e7	Achtung! Das dürfen Sie nicht tun.	a1	주의하세요! 그건 하시면 안 됩니다.	claude-opus-5[1m]
s0f2ffd24cd	Achtung an Gleis drei: Die Türen schließen. Der Zug fährt jetzt ab.	a1	3번 승강장에 알립니다. 문이 닫힙니다. 열차가 곧 출발합니다.	claude-opus-5[1m]
s09e0c7ea9e	Achtung! Pass auf! Der Verkehr ist hier gefährlich.	a1	주의! 조심해! 여기 교통이 위험해.	claude-opus-5[1m]
sbfb2ca0b73	Achtung, hier endet die Straße!	a1	주의하세요, 여기서 길이 끝납니다!	claude-opus-5[1m]
s5cfaf51738	Können Sie mir seine Adresse sagen?	a1	그의 주소를 알려 주실 수 있나요?	claude-opus-5[1m]
s43738bd62e	Können Sie mir Ihre Adresse geben?	a1	주소를 알려 주실 수 있나요?	claude-opus-5[1m]
